image,prediction
img\6_28_409.jpg,6 осго   о~к &е
img\11_29_40.jpg,шоеою  <аде^ Отеничие
img\6_5_412.jpg,0 зхим ( кам
img\9_2_577.jpg,Комхогки ьх
img\6_49_385.jpg,"шо<8росЯ ""ешя ,"
img\3_6_720.jpg, р ( }её мучо
img\6_51_383.jpg,%0 (л
img\10_12_343.jpg,Ким  /9001
img\0_39_11.jpg,п ?обш
img\9_24_569.jpg,сие . 
img\4_37_733.jpg,ша   чиноц _ там;
img\2_28_684.jpg,ве чаумие
img\5_39_325.jpg,искомиегнние Ич
img\10_21_453.jpg,РоссЦ 4
img\2_29_172.jpg,киЯ}бой  деием ;
img\8_23_847.jpg,к лоъ ши /об
img\10_14_281.jpg,ПЕтропав^овск
img\3_51_719.jpg,не Ворек гтепнес ?
img\1_13_658.jpg,"О1,"
img\13_17_193.jpg,Норошмихи
img\10_18_0.jpg,Чуркимн
img\9_41_535.jpg,пеленоке олл
img\10_2_383.jpg,л<ч{ч?
img\7_45_422.jpg,миич   их Ахи
img\9_8_880.jpg,077222-4772/77722222772
img\10_7_447.jpg,4^74 4
img\12_47_136.jpg,Леяуумими
img\5_1_318.jpg,^ши
img\0_21_60.jpg,ду аш
img\5_44_318.jpg,ш /
img\10_26_127.jpg,пауслечо егешесея
img\0_20_100.jpg,]@ --_-8~^_?- .
img\3_21_186.jpg,Лошиаш   потошк
img\9_48_553.jpg,8< с44
img\10_41_356.jpg,Юьк- Калахетанская
img\10_14_472.jpg,Пегьопаб^оВск
img\8_33_478.jpg,^) шия 8 ско ие
img\6_8_794.jpg,"хее>и 9/= , ууу-я2"
img\10_9_320.jpg,Атыри !
img\10_39_88.jpg,ГЧри (т Чши
img\8_1_498.jpg,9нтш> сьой
img\3_4_203.jpg,ко 3 @ 1 ме }имоо
img\13_38_157.jpg,(еЧооич
img\4_48_291.jpg,"пчиь иеи  чиие,"
img\0_47_15.jpg,*887и+
img\5_31_773_.jpg,"еео,я;79 9"","
img\10_13_381.jpg,]1о>.х-99~
img\13_6_167.jpg,1@ому
img\2_5_139.jpg,имей кощы
img\10_12_326.jpg,Кнън^ ор +а
img\10_4_136.jpg,3>еистон
img\10_27_376.jpg,штинчи
img\3_47_208.jpg,)твалени  ёгщо
img\10_21_389.jpg,ЮсС^
img\10_12_338.jpg,6чучф
img\11_37_20.jpg,Ак<ко^ь
img\0_6_6.jpg,умаиць ши6
img\10_20_110.jpg,иоичн (
