image,prediction
train0.png,"'""*иМ"
train1.png,и
train2.png,'у(
train3.png,'41
train4.png,'Ж
train5.png,41
train6.png,МФм
train7.png,2
train8.png,Э
train9.png,74.
train10.png,6((е
train11.png,(~
train12.png,"Ъ"" [;Ю]и"
train13.png,~1
train14.png,'{~ф
train15.png,{(~й
train16.png,~~б1(я
train17.png,'Уи
train18.png,0
train19.png,'ме
train20.png,{Мч
train21.png,' @@?^
train22.png,0Ъм
train23.png,(ЧЙ .
train24.png,' ьм1
train25.png,'/ м;
train26.png,(Чс
train27.png,'&
train28.png,~м
train29.png,"ммо{/,;со"
train30.png,{4
train31.png,[чн
train32.png,(
train33.png,И~ДЧС
train34.png,(м
train35.png,"Фч"""
train36.png,ё%&
train37.png,[ёх )
train38.png,""""""" ["
train39.png,{
train40.png,'3
train41.png,"""и"
train42.png,Ч
train43.png,"(1 """
train44.png,[жм
train45.png,"'@2;[: """
train46.png,'чм/и
train47.png,М
train48.png,(.С[^ 
train49.png,Кифоби@)
train50.png,"""/ММ7"""
train51.png,{х;4
train52.png,'ди
train53.png,'.-(ёк
train54.png,'А
train55.png,{Сё Л
train56.png,"""-~и"
train57.png,К(
train58.png,((~ё-
train59.png,#~я
train60.png,"[~(""%"
train61.png,'дёмми
train62.png,"' 9~ ,"
train63.png,{жыи!
train64.png,":~{""  , ый_"
train65.png,Ил
train66.png,"< ,"
train67.png,'&и
train68.png,ФУЧим
train69.png,~~
train70.png,'бл
train71.png,мд6 10  1
train72.png,0
train73.png,Й~ш
train74.png,'к&
train75.png,(еу/у; [ й
train76.png,ПП# ь%б
train77.png,"И""_/>"
train78.png,И
train79.png,"~е/"""
train80.png,"' ""2"
train81.png,(инъ(
train82.png,Фм
train83.png,"ё{-"""
train84.png,Ь  
train85.png,"%е,49/06 "
train86.png,""",Ж/."
train87.png,~ ;
train88.png,94Ф%
train89.png,8 ч 
train90.png,ёсё
train91.png,Ъ ~1
train92.png,ф
train93.png,ЖаёС
train94.png,69
train95.png,[ Мк#и
train96.png,"""Уи"
train97.png,(и
train98.png,{У~М
train99.png,Ъ 
train100.png,[(
train101.png,~ёЧм  .
train102.png,(~
train103.png,'€ . <
train104.png,#.
train105.png,"Фл емиФи ,"
train106.png,#( -
train107.png,~[Ъ
train108.png,"""Чн  """
train109.png,"""""м4м"
train110.png,'~ЩЦА/о<
train111.png,ИМЖм
train112.png,ма% 6ж
train113.png,(0
train114.png,0{хя49б
train115.png,СФии
train116.png,"{а"""
train117.png,€
train118.png,Хм
train119.png,"0(ъои ,"
train120.png,"4"" ~%и ,"
train121.png,({44{ (+
train122.png,ФИ
train123.png,ёй
train124.png,;-ий
train125.png,ИйЖ
train126.png,ёсе .
train127.png,(ъ 0
train128.png,71/ <
train129.png,э77
train130.png,243 1 $
train131.png,Ч
train132.png,4 26 €'?2
train133.png,ЯА +6 €
train134.png,>5
train135.png,"""7ж3е"
train136.png,#+с-ъ   0
train137.png,''(':7
train138.png,"'ё , ; 7' <&н | ФГ3"
train139.png,4{ Ч ₽;
train140.png,< '~д
train141.png,аГФ | + -
train142.png,И чш: А окл
train143.png,9% % €
train144.png,И2
train145.png,[1 ч ; &
train146.png,'?':. +
train147.png,1 о ( 5; ( ;
train148.png,& -н< !
train149.png,"€,&<-+"
train150.png,6 & ' + + €
train151.png,"Ж~,Ж~ цч !"
train152.png,Чб 1 Ф>
train153.png,& х? @124
train154.png,ч&и (<_ 4
train155.png,1ъ ( & }лАА ф А ла5
train156.png,Н4ч
train157.png,"Й, ? Ч 1₽ Ц ,"
train158.png,<'
train159.png,51 2 Ч Н
train160.png,1 5 } < [
train161.png,"1 Ч ,"
train162.png,{м4 9
train163.png,# ЧЪС?д Нм
train164.png,1(2
train165.png,2'л
train166.png,Ьо _
train167.png,72
train168.png,[+ Пь <
train169.png,1203 Я А` €
train170.png,", 32 & ;' < "
train171.png,04> ч н -
train172.png,1-
train173.png,1 Ч Ы 1
train174.png,""":$4.35 %.%#.щ .2~"
train175.png,Со [ 3 ++ Д
train176.png,{< 7.6
train177.png,12 _]~чД ыъ
train178.png,'3@41^
train179.png,ч{ч <: :  / :
train180.png,{2 6 #т < &
train181.png,"',<4"
train182.png,"<',,,;, С~,ц,н"
train183.png,"(( '!' !""."
train184.png,14 с+2 >( Ч+Ч_&
train185.png,"ч ч$ссыфм > ,"
train186.png,'360 {е'2
train187.png,3+5 24 &'+ьы€
train188.png,#Жо=с
train189.png,(#₽₽ < щд €
train190.png,Т + 2 Ч11
train191.png,_419 
train192.png,(- & <€
train193.png,м 4(
train194.png,1~ (1 2 Н1
train195.png,НА ЫЮТ4Гс ъ
train196.png,"'& ~у41ч ,"
train197.png,(Х РА+А
train198.png,Ссе{12 с ₽
train199.png,Ч ч 1
train200.png,.'2;2 &11
train201.png, 0хч `
train202.png,"~,;%тч '"
train203.png,ъф?
train204.png,"; ,,6, Н  '"
train205.png,< 2 Ро {
train206.png,12 } 2 +<~ $
train207.png,Д 4с ч 2> < %у Ч
train208.png,6 зА {о $
train209.png,₽У <Чч
train210.png,# ч!_  <!4 ` €1
train211.png,1 (ч у # ^
train212.png,[2 1.4 Ё:я (ь (1
train213.png,4@
train214.png,",1, ;,} < ( ь"
train215.png,'9 ^
train216.png,<<€2_(<
train217.png,4 & 8
train218.png,#+7т'ннч (
train219.png,{чнцё(
train220.png,11 ' ^
train221.png,7 л `!:&
train222.png,8 ` 919 .8
train223.png,"Ф & +(4,-<; < (~ч>"
train224.png,~уьо€>
train225.png,0к
train226.png,"€~< ! ,1 ("
train227.png,9 ` 5
train228.png,Бе4ч 6с€3о [
train229.png,"1<, ' <7ч- 2 < !З ч"
train230.png,"@"".о"
train231.png,{' ц 4!: & !
train232.png,:ж Р?с (
train233.png,654 { <
train234.png,2€
train235.png,221ы! (2 ч !  
train236.png,2 Го
train237.png,* (.Щ  л?
train238.png,5.' { !
train239.png,АС_Р ₽ ч +
train240.png,"'ч,8>"
train241.png,)учн  ж 3
train242.png,{ц щщЧ6о &
train243.png,6813 ( 4 9
train244.png,}_И :
train245.png,19
train246.png,""""""" . ~"
train247.png,"1< +,"
train248.png,44 (
train249.png,(2 Ро 
train250.png,@€&  0 [1-5
train251.png,";? "": !'' # !_<_: 2"
train252.png,₽
train253.png,Цш -
train254.png,18 ++ы
train255.png,'ыЁ &ь>
train256.png,2^ 2 ~ч
train257.png,"""7Э)"
train258.png,6
train259.png,5 <2жч2
train260.png,"&,&[ ч 2 ! !!ы'(!!'"
train261.png,1
train262.png,6( ш< . ' ч
train263.png,0
train264.png,Аны+ <
train265.png,_!_
train266.png,1 !
train267.png,".3 е,,,!,3"
train268.png,-! т < ~( >
train269.png,~ч< ~ 'нф'&:
train270.png,{< {& ( ' (- 2 
train271.png,1 . ч 2
train272.png,"; ;, 1ч 1"
train273.png,"7? + {ч,4"
train274.png,#
train275.png,(з € -л + € * &
train276.png,'1. `+ / ч 5
train277.png,ате
train278.png,5 ₽ & Ге
train279.png,Ё< с
train280.png,16 !1 5 7
train281.png,5 1 ь
train282.png,(( ц 2 н|; 
train283.png,Р+ | 1₽ ₽
train284.png,5 4 13
train285.png,Я
train286.png,( 61
train287.png,1ч .ж
train288.png,1ас-с} (с-3
train289.png,(2 ₽08
train290.png,1 <
train291.png,;< {
train292.png,1< $ {<?&йё 
train293.png,1& 1'1 ( >
train294.png,";, . +'"
train295.png,"~ъ_'<'; "" #+"
train296.png,({ ~<
train297.png,715Э1 ч
train298.png,{  5
train299.png,!01 6 € )
train300.png,"€4э,-1д"
train301.png,Ц
train302.png,92.[9 4 Д
train303.png,321+44
train304.png,3 + 50
train305.png,<]' ?.4 ч
train306.png,~;
train307.png,ы~ионец
train308.png,"44 |ъ , ,1. (1 {' ,< 6"
train309.png,(3
train310.png,7 15 ( ₽ &
train311.png,Эч!
train312.png,{с'  (
train313.png,!Д !с `
train314.png,с пьё #е+1Ч *
train315.png,76
train316.png,% ~%:з_чж.
train317.png,6 342ж ( #: <
train318.png,"{Щ%.+:""1€ #ы'+"
train319.png,' ( чъ ч( &
train320.png,та{е
train321.png,"""[ щс(#щ<"
train322.png,"""1 01 с 3 +"
train323.png,36 + (7 16 { { т
train324.png,{; с ;_
train325.png,1 ? {   ~((
train326.png,#5
train327.png,( О1ън &ч ^ €
train328.png,€
train329.png,"7,< ` 7""1/"
train330.png,"'1, !+"
train331.png,₽ + 1-42 `
train332.png,~ А : ( ₽
train333.png,+{ {> ( { {
train334.png,И1 ` [ 81 =
train335.png,'{86> 5
train336.png,(4@4 <о`& Ч
train337.png,'ъ& (к' {
train338.png,<( 1~ё{ То #С
train339.png,хШ0
train340.png,1
train341.png,€ь !&+(чц
train342.png,{4( 4
train343.png,'2 :е
train344.png,41~ .
train345.png,"..222 !  & {+ & ., 2"
train346.png,[
train347.png,Ба5й23
train348.png,Ао гъъ
train349.png,е {3
train350.png,РАз  ~4
train351.png,"43"""
train352.png,Ы} `ам Готш
train353.png,: 24€ < {4.2
train354.png,0 +
train355.png,{(19ж €
train356.png,'&$ М!<(42 ;
train357.png,0
train358.png,{ {'Ъч
train359.png,4
train360.png,4 & .
train361.png,Ч+ ₽€
train362.png,И-4 ~
train363.png,' '' *;Ё ч
train364.png,<~&:'3 4
train365.png,3ю
train366.png,:! :9: !'  ()
train367.png,6с 5Д ЧА.
train368.png,Ён ? -
train369.png,#<#
train370.png,ц' !
train371.png,"2,! ! &"
train372.png,!} !<<! ?! (
train373.png,"' <: 24;  ч,, < /л"
train374.png,Г 2
train375.png,~~;
train376.png,'ах₽ +
train377.png,21 14 4 21 25 ₽ 
train378.png,{Ъ &ч ? % &
train379.png,Т*Ич & -
train380.png,'1 М
train381.png,К1{ м? чна
train382.png,фа;н4>
train383.png,[ч?
train384.png,[ж{ъ€
train385.png,5я ₽зз&
train386.png,;.{! && `  
train387.png,"2 ( ( } 2 9'. , 2"
train388.png,"2 ""1ч!::"
train389.png,"{,,73х4"
train390.png,2
train391.png,[кю2& ь %1щ+-`
train392.png,16?А
train393.png,1евЗоГ;(
train394.png,"''(!514%.95,, 7"
train395.png,[Е 9 {+1 @[&
train396.png,3 :__ыыэъ0
train397.png,3й 4< = А
train398.png,{<_З-.&&&
train399.png,<5ъ
train400.png,Ч $
train401.png,1 + @1' {4 €
train402.png,{~~и*: : 2
train403.png,4
train404.png,",;..?"
train405.png,'1(21 {1 ! Ъ 2
train406.png,0
train407.png,@1}
train408.png,У # 
train409.png,'.{ = _:{2 !ъ# . 2
train410.png,"{ ?  :и.[""   :."
train411.png,7'{1{9 <; € ~;
train412.png,"'{? ? +"" 2"
train413.png,ъ2?} 7
train414.png,(224134 2ё({.+ 7
train415.png,' <
train416.png,С { ше
train417.png,15902 .
train418.png,2а3 >
train419.png,!4 (
train420.png,'} 'тА4 &
train421.png,М
train422.png,"К, ,"
train423.png,с5ж 4 / Н Ч+9
train424.png,Ч Уьс4 
train425.png,{ь+е ( 3
train426.png,<*&| ч++ч+4
train427.png,"1 ,,'  '? цК < Ф(' < }"
train428.png,"?>э]<4 -6 , <"
train429.png,Р( &Ь2  <
train430.png,@0< 162# 4 25
train431.png,4 >
train432.png,(с  [ [(Д&_
train433.png,иь7с ] (32
train434.png,Щ[е ч !  615 7ед
train435.png,4 € 2 
train436.png,"ссх? >1,1'ч 2"
train437.png,!!
train438.png,63
train439.png,ДщУЮЧ 
train440.png,{#ё.ЧТ)
train441.png,';
train442.png,[372 5с ]
train443.png,('12
train444.png,И4
train445.png,2 2 €
train446.png,<2 !:^&е
train447.png,Ц? < < (ё_
train448.png,(2+ /@( #чъ4%4
train449.png,Ч
train450.png,92(
train451.png,(1€ (_е 
train452.png,17
train453.png,{Ч7
train454.png,"!99"""
train455.png,9 2
train456.png,"22 ""  {4 "
train457.png,#ё +7 / < `
train458.png,7 =оьч' (о ( 0
train459.png,6 /1 (
train460.png,~1!'.
train461.png,'40Ч
train462.png,{.;!&&: ё%_!Ё
train463.png,7к(ё4%<_
train464.png,"{9( ( ,"
train465.png,~26.4 €з<(>6 (21
train466.png,0 Ч
train467.png,_ #%.&д;
train468.png,!7 1 ''
train469.png,34 ₽ 0 >
train470.png,2`_ 6
train471.png,"'"".#'(&{ <& < / % с [ ("
train472.png,€ 2
train473.png,"""""""""4з2ж"
train474.png,61() &0 
train475.png,32 €}
train476.png,{/1'9 / { ' /
train477.png,24
train478.png,€{2/<_{
train479.png,6ч
train480.png,0 ` 1 1 У е
train481.png,'6( 1 Ъв₽
train482.png,"ЧЧЬс,{7 9"
train483.png,( 1-ъ
train484.png,[-
train485.png,УАХ4ОС6
train486.png,'4мч₽
train487.png,04143 0 1
train488.png,5216 6 ^
train489.png,~=Х
train490.png,12##<!жцх
train491.png,<Ъ<
train492.png,'244 ~.:: (.<€_ 
train493.png,'ч {4
train494.png,Ч( ) 1 Ц1/
train495.png, 3
train496.png,"""7 : ч"
train497.png,"'' ,5,"
train498.png,'''!3_'
train499.png,"""""<лд4''6' <"
train500.png,"46 0,47"
train501.png,С&€
train502.png,22
train503.png,12
train504.png,5шш2
train505.png,[4988
train506.png,'_ч
