image,prediction
test0.png,ч&;
test1.png,0(4 .ф `
test10.png,кос
test100.png,@ПтичЕскЕ
test1000.png,7 ю+яс с<
test1001.png,2 Уль_.€ В с+с
test1002.png,Но   ~&_ес=ь
test1003.png,#Ъ~я €/ 7
test1004.png,#2549 124
test1005.png,01//о @._&&е
test1006.png,96с   7с1э
test1007.png,€ ю.28 7-
test1008.png,"Рос з (   ёсе €еде
test1009.png,Юотор ле   Я 
test101.png,'ь&&
test1010.png,ог Л7а & _&   Ясс_
test1011.png,#3с Гц 2 &€&7.
test1012.png,Прос: &а   [о3о&/2-Ъс+
test1013.png,{ сжечъ4 _
test1014.png,52. €+: 2ев€
test1015.png,7"₽ о гъ"
test1016.png,се&{& _
test1017.png,9   также
test1018.png,когор6 €   Я.4&
test1019.png,оИсся ъ 6 Ря
test102.png,Еъэсз)
test1020.png,7 юссс
test1021.png,9о&ссе !6
test1023.png,Йссрокоуъьы 
test1024.png,"х еься
test1025.png,&е   €62
test1026.png,39.2 6.2 2 4&4+₽_
test1027.png,%очелящ Яя
test1028.png,Риия Съе€ &ы я
test1029.png,710: ?о(7 .
test103.png,?Ж1@~-ь 
test1030.png,~_1.00
test1031.png,/0 х б&   20/8 7 .
test1032.png,7 С@м;] - {зей У8ъ
test1033.png,~бщ }  &бе+
test1034.png,73 . 22,/ #%2.
test1035.png,росуе4+29
test1036.png,77,. ?ь+ Г
test1037.png,ИОвессся   @ереесе
test1039.png,7 2.03. )о# 2
test104.png,[Жкэн еся о
test1040.png,0  22122 -1
test1041.png,'Ф@ Ф%ъе
test1042.png, &2_22е 
test1043.png,78 , 0У. /920 
test1044.png,1е 22с017   62742?
test1045.png,72+722 2 227/2222222 2
test1046.png,2,  @ 2Де +
test1047.png,(ессе 4+ #+₽ г/ &7
test1048.png,7ъ . @02424+22
test1049.png,66ъ2сеес2272 14 е7те
test105.png,[А сАт€ АнА Я
test1050.png,1/87е;
test1051.png,/2е1ое 4,2 .
test1052.png,24 11 //
test1053.png,2
test1054.png,+42.42 ойи & ₽
test1055.png,08 &./х
test1056.png,~Кыфоё
test1057.png,Коя-2  20/6 
test1058.png,& ["/7е   534 €ес
test1059.png,Веш
test106.png,[жбихорцм
test1060.png,06Ъ  )скэго
test1061.png,25 06295"
test1063.png,До?чкх_[
test1064.png,94 94
test1065.png,541&1
test1066.png,962_}-~е
test1067.png,16.98 2094 с
test1068.png,Ерфэе
test1069.png,7+ехъ: 7+ел
test107.png,[,и?ЕкториА АЪНОЕ
test1070.png,(фе_фа&2
test1071.png,Пеегро
test1072.png,445  тъ сяч
test1073.png,7ы %и9 ъ Я7Б6>
test1074.png,(~6б;##@с%&
test1075.png,жка/эжъ
test1076.png,0 €74
test1077.png,"064р24
test1078.png,Ф#4р6 фкуе &
test1079.png,иэ 1044{
test108.png,Сод& сое
test1080.png,# ы 
test1081.png,~ &_
test1082.png,~оФ   104/049€+4944,4
test1083.png,1/0><240409
test1084.png,4 0  /де  /
test1085.png,е(ъ 
test1086.png,Фоберою 1₽,/7
test1087.png,04/2е 6 си+ж
test1088.png,71/77224244/<<0
test1089.png,40 сс€` - <0
test109.png,~&0е
test1090.png,и0  @4/4 4
test1091.png,€ Ёелёся&+ 77/ € 77 
test1092.png,7, < 4€0442 
test1093.png,777 572 ,
test1094.png,н2 #
test1095.png,71312 |2жон&
test1096.png,7 . щ0466ъ )
test1097.png,#?   "Ь{*ц4₽
test1098.png,еэсЭж#еатруе 44
test1099.png,222 еП/лч
test11.png,иобо2
test110.png,фоп₽ос
test1100.png,[ 9 30/6 ,
test1101.png,Ъ0.69. 101
test1102.png,(@нъу
test1103.png,72 5 & ч:  52 ё &
test1104.png,7.07.  2 0З
test1105.png,{х  09 22 (3
test1106.png,7,ч9.9073 -
test1107.png,72. 09.ФГ*? 
test1108.png,90,09 2о43;
test1109.png,12,09 204
test111.png,(и б@ц
test1110.png,Зо б<я   п)@4? кы
test1111.png,[@Ретке (1 #
test1115.png,€&28:&
test1116.png,Довм
test1117.png,Шо_сокё
test1118.png,222222
test1119.png,442/€&
test112.png,! (сяо?
test1120.png,&2<2__4
test1121.png,9и42сЦщк
test1122.png,< Ц/
test1123.png,2е2
test1124.png,и2222
test1125.png,в2лш ы _+ 4
test1126.png,ЯШше 84
test1127.png,[ыЁхвкко_42
test1128.png,#@0с
test113.png,[д :
test1130.png,0/2щ4к2
test1131.png,швикше
test1132.png,2щшэши2
test1133.png,7722
test1137.png,#ьШдкншке
test1138.png,палн 
test1139.png,Е7ш2твкш
test114.png,{?чч Э
test1140.png,ши
test1141.png,&ш# ии
test1142.png,6'7- тиаца
test1143.png,?ж@#се .4 .
test1144.png,23 22с,ъ6 2912?
test1145.png,4 . (сцся . 4е2"/ 6ъ
test1146.png,6{чое2
test1147.png,7*1 € %* .
test115.png,{ч
test1150.png,8.0+ . ~о/О? .
test1152.png,Оото . #е %"//
test1153.png,%/   9/ос 62е4/е се2&
test1154.png,"0е0 рзч
test1155.png,40 06 У99
test1156.png,6гр&4
test1158.png,О"с 30 шочУ феея 74-
test1159.png,Сесвски - 3есертуръ
test116.png,'мо& _
test1160.png,/. К. %273?
test1161.png,~ ` Р1-е с
test1162.png,@есееГ - Й#&е#@ ?/
test1163.png,[ее &4ъ+ 6 € 924_&€
test1164.png,9 ёе
test1165.png,М{ е& 8 &>я
test1166.png,Сл+& ₽2о@;   @жщ"сЧ
test1167.png,/ес @есеесо%еее еее
test1168.png,%е  
test1169.png,64 {+€ё ^ /Г₽З ,
test117.png,{ {ох
test1170.png,@осхи - "е+ье* /ъ
test1171.png,#о 79&@е
test1172.png,ьтесеуесея   !е  2+ее+0_
test1173.png,83.01. 2ет& ? ,
test1174.png,;;чьебе &. 2
test1175.png,,~.ж2%;#
test1176.png,04. %/ .5 Я.2 _
test1177.png,/6.{Х. 1991 > -
test1178.png,ис  019 3 & #ч_
test1179.png,уч/0 ~( - !14+4
test118.png,прост?#нстВо
test1180.png,7.822 +26
test1181.png,€ &_ы&& ,4 ъ<_
test1182.png,"24!~ с€е_ _ ~'*//* &ч
test1183.png,_(ъей
test1184.png,Шшиве
test1185.png,22,шс!
test1186.png,ш&
test1187.png,Дз-+ е8о0, 9? Г
test1188.png,Жсте-;я % с Я И 
test1189.png,("-(о? % 1#
test119.png,(б+
test1190.png,~ж< #ссф2б 0 . Х
test1191.png,07 47*0 42
test1192.png,)@ео 6о   # 9 =
test1193.png,Уос  о @@ 1 # Г
test1194.png,0Чреоебо 9; 1 ,
test1195.png,Жэс6 8еб ,  Я
test1196.png,{ъ8 %гоъо_  ( 6.
test1197.png,04699  +@:&; € . ( .
test1198.png, Жо {+6&
test1199.png,Эс:я &сетссе
test12.png,2АЖешимо =
test120.png,1 .& (ч? м
test1200.png,'0 $ 0Ч , 16 7
test1201.png,о7 УЁ.;?
test1202.png,24, 0!&€
test1203.png,~лчча зоКодое
test1204.png,~{о4 0 то&
test1205.png,&@с
test1206.png,"2&€ 
test1207.png,Руфе   >*_я   федо
test1208.png,[ кс+9
test1209.png,(к@оф
test121.png,!_~~ [чч@сяъ
test1210.png,2 22/к2и<
test1211.png,2ъе+Р,же9/еаже+9 
test1212.png,Хсы#"87&
test1213.png,2нна ~У
test1214.png,'с"8 Юся   @арожсени2 _ 2 ` . 06~2 .
test1215.png,72 %%-2 &(?
test1216.png,(, 2@?о:
test1217.png,"%е
test1218.png,[& @*&
test1219.png,(с%€е
test122.png,БопРос
test1220.png,{,ис &% Кооаши @ю .
test1221.png,4ж_222ы2.ьщ
test1222.png,6 ~24%ы42
test1223.png,{4442+0_[ы122&-&2 ₽
test1224.png,6 6&2&:
test1225.png,6 % релсе ₽
test1226.png,2РЛРЧ
test1227.png,[ычеч;
test1228.png,2. Г шоф
test1229.png,(ь %се
test123.png,~а~а
test1230.png,@   )&еиись_92 222
test1231.png,[4_4шъ
test1232.png,724ыэж0224+ё 22
test1233.png,24 226+242. 244482 2 
test1234.png,&/икищ?
test1235.png,&474
test1236.png,~2жи_са"м ЗАГСа "Сант заре}
test1237.png,С2
test1238.png,€22122
test1239.png,[42222422244224
test124.png,(Зж
test1240.png,шф22#2 _
test1241.png,22
test1242.png,2+244494,21
test1243.png,#ы ₽
test1244.png,<4,_444
test1245.png,~4о2
test1246.png,'12 _ €0422 &
test1248.png,222 02&42.
test1249.png,2422444422
test125.png,[фц^_<
test1250.png,'22422+
test1251.png,{ФиыикеШи2ё
test1252.png,470+244&
test1253.png,[ёж@Щ.
test1254.png,/ЩПна/ж
test1255.png,Даиш
test1256.png,'[б&е
test1257.png,(и  242&
test1258.png,&222722  24
test1259.png,@чащ2 @
test126.png,'Ъ@(_9
test1260.png,Знессе_2 е @в
test1261.png,ис22у
test1262.png,'е/ ##е 2>
test1263.png,ЁыРее
test1264.png,6 %/ъ0и&е4о &24
test1265.png,#ь>ю
test1266.png,И1Ф че4242
test1267.png,6%4222404е4
test1268.png,2+44@242&6
test1269.png,я 9 наимено5   9пасту "9Р27а_посолиу са в
test127.png,[)тЪося
test1270.png,Дасе ёл2/2ее
test1271.png,ёоескод2
test1273.png,1.22 +4 6
test1274.png,02с2222722 9й
test1275.png,224244. @ #
test1276.png,(@2{а 1.2
test1277.png,0414 / 22 :
test1279.png,97 #1"7
test128.png,(~@ме
test1281.png,ч; Я~фж-&ж&
test1282.png,%о~пч
test1283.png,7ьс&чбя В,#4]
test1284.png,7/ж&& Т4мс л
test1285.png,фрьяфо 8 € эы #
test1286.png,2 2.%3.26%€ &
test1287.png,(&чэб {Я; ,
test1288.png,7 _ Фсе+е
test1289.png,х_1244,
test129.png,((ос сибо
test1290.png,29/(ейо
test1291.png,7 62#е"6*8
test1292.png,229;
